lon,lat,code_postal,ville,departement,nom_structure,adresse,url_lieu,source,url_illustration,code_access,code_label,code_accomp
4.5748942,47.8638309,21400,CHÂTILLON-SUR-SEINE,21,Espace Numérique Côte-d'Or de Châtillon-sur-Seine,14bis rue de la Libération,,Espace numérique Côte-d'Or,,,,
4.574407,47.858829,21400,CHÂTILLON-SUR-SEINE,21,Mission Locale des Marches de Bourgogne - Arrondissement de Montbard,1 rue Ernest Humblot,missionlocalemarchesdebourgogne.com,,,,,
4.575485,47.850467,21400,CHÂTILLON-SUR-SEINE,21,MSAP Pays Châtillonnais,11 rue Albert Camus,,,,,,
4.859336,47.311605,21410,FLEUREY-SUR-OUCHE,21,MSAP Fleurey-sur-Ouche,1 Rue du Sophora,,,,,,
4.818482,47.06349,21420,SAVIGNY-LES-BEAUNE,21,FabLab des Vignes,1  rue des Cigales,,,,,,
4.28132,47.204873,21430,LIERNAIS,21,Maison Familiale Rurale Le Dueg,Maison Familiale Rurale Le Dueg ,,,,,,
4.788624,47.439951,21440,SAINT-SEINE-L'ABBAYE,21,Espace Numérique Côte-d'Or de Saint-Seine-l'Abbaye,Rue Sonnois,,Espace numérique Côte-d'Or,,,,
4.647634,47.600626,21450,BAIGNEAUX-LES-JUIFS,21,Espace Numérique Côte-d'Or de Baigneux-les-Juifs,Rue de Quemigny,,Espace numérique Côte-d'Or,,,,
5.062149,47.284881,21600,LONGVIC,21,Maison Jules Verne,Allée de la mairie,,,,,,
5.061143,47.285342,21600,LONGVIC,21,Médiathèque Michel Etiévant,Mairie de Longvic - Allée de la Mairie - BP 77,,,,,,
4.975178,47.127476,21700,AGENCOURT,21,Maison Familiale Rurale d'Agencourt,Maison Familiale Rurale d'Agencourt ,,,,,,
5.117356,47.315073,21800,QUETIGNY,21,Maison Familiale Rurale de Quétigny,Maison Familiale Rurale de Quétigny ,,,,,,
5.143954,47.302475,21800,CHEVIGNY ST SAUVEUR,21,Point Information Jeunesse - EPN Centre Pierre Perret,Point Information Jeunesse - EPN Centre Pierre Perret ,,,,,,
6.0397,47.231,25000,BESANCON,25,3615 Señor,8 avenue du Chardonnet,http://3615senor.org,,,,,
6.02077,47.2421,25000,BESANCON,25,52 Battant,52 rue Battant,http://www.52battant.fr,,,,,
6.02968,47.2349,25000,BESANCON,25,AC agir ensemble contre le chômage,2 rue Victor Hugo,,,,,,
5.99569,47.2271,25000,BESANCON,25,CRIJ Franche-Comté,,,,,,,
5.97217,47.218,25000,BESANCON,25,DigiFab,4 Avenue du Parc,http://digifab.fr/,,,,,
5.9997,47.2611,25000,BESANCON,25,EPN Battant,,,,,,,
5.99569,47.2271,25000,BESANCON,25,EPN Centre ville,27  rue de la République,,,,,,
6.05351,47.2494,25000,BESANCON,25,EPN Clairs-soleils,,,,,,,
6.05452,47.2547,25000,BESANCON,25,EPN Grette,,,,,,,
6.00024,47.2473,25000,BESANCON,25,EPN Montrapon,1  place de Coubertin,,,,,,
5.96744,47.2213,25000,BESANCON,25,EPN Planoise,13  avenue Ile de France,,,,,,
5.96626,47.2206,25000,BESANCON,25,Espace IO,19 rue de la République,https://espaces.io/,,,,,
5.97359,47.2185,25000,BESANCON,25,FabLab Planoise,10  rue Picasso,http://epn.besancon.fr/?location=fablab-planoise,,,,,
6.0075,47.242,25000,BESANCON,25,Frenchmakers,17  rue Xavier Marmier,http://fablabbesancon.frenchmakers.com/#!/,,,,,
5.9499,47.211,25000,BESANCON,25,iBureau Bisontin,4 rue Eugène Savoye,http://www.ibureaubisontin.com,,,,,
6.00714,47.2419,25000,BESANCON,25,La Pépinière APEFC,La Pépinière APEFC ,,,,,,
5.9769,47.2209,25000,BESANCON,25,L'atome,12 rue de France-Comté,https://besancon-coworking.fr/,,,,,
5.97366,47.2193,25000,BESANCON,25,MFS Planoise,7-9 rue Picasso,,,,,,
6.01794,47.2457,25000,BESANCON,25,Mission Locale du Bassin d'Emploi de Besançon,10C rue Midol,missionlocale-besancon.fr,,,,,
5.973622,47.219166,25000,BESANCON,25,Onlineformapro,10 rue Pablo Picasso,,,,,,
6.052119,47.264612,25000,BESANCON,25,Onlineformapro,2b chemin de Palente,,,,,,
6.361392,47.351713,25110,BAUME LES DAMES,25,Horizon Jeunes,Horizon Jeunes ,,,,,,
6.36156,47.352575,25110,BAUME LES DAMES,25,MFS Doubs Baumois,3 Place de la République,,,,,,
6.361227,47.352628,25110,BAUME LES DAMES,25,MSAP Objectif Emploi Baume-les-Dames,2 B place du Général de Gaulle,,,,,,
5.93197,47.2562,25115,POUILLEY LES VIGNES,25,Agence Crédit Agricole Pouilley les Vignes,Rue Emagny,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.669811,47.060345,25130,VILLERS LE LAC,25,MJC de Villers-le-Lac,MJC de Villers-le-Lac ,,,,,,
6.770036,47.382306,25150,PONT DE ROIDE,25,Agence Crédit Agricole Pont de Roide,21 rue de Besancon,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.812826,47.317628,25190,SAINT-HIPPOLYTE,25,MSAP Saint-Hippolyte,Esplanade des Fêtes,,,,,,
6.813326,47.317911,25190,SAINT HIPPOLYTE,25,Point multimédia de Saint Hippolyte,,,,,,,
6.800682,47.51081,25200,MONTBELIARD,25,Bureau Information Jeunesse de Montbéliard,,,,,,,
6.804307,47.532991,25200,BETHONCOURT,25,Centre social et culturel de Bethoncourt,Centre social et culturel de Bethoncourt ,,,,,,
6.811344,47.518686,25200,MONTBELIARD,25,Cyberespace Léo Lagrange,,,,,,,
6.800682,47.51081,25200,MONTBELIARD,25,Espace Netpublic,,,,,,,
6.811793,47.536962,25200,BETHONCOURT,25,Espace Relais du CSC,Espace Relais du CSC ,,,,,,
6.800682,47.51081,25200,MONTBELIARD,25,IDEIS - Mission Locale du Pays de Monbéliard,2 avenue des alliés,ideis-asso.fr,,,,,
6.79436,47.504871,25200,MONTBELIARD,25,L'Atelier du pavillon des sciences,1 impasse de la presqu'ile,http://www.pavillon-sciences.com,,,,,
6.798311,47.499355,25200,MONTBELIARD,25,MFS Montbéliard Petite Hollande,12 rue Maurice Ravel,,,,,,
6.826627,47.526409,25200,GRAND CHARMONT,25,Point Information Jeunesse / PIFE,Point Information Jeunesse / PIFE ,,,,,,
6.86348,47.460281,25230,SELONCOURT,25,Centre Culturel la Stauberie,Centre Culturel la Stauberie ,,,,,,
6.895194,47.477867,25230,DASLE,25,Ecole primaire de Dasle,,,,,,,
6.860526,47.461841,25230,SELONCOURT,25,Maison pour tous,Maison pour tous ,,,,,,
6.192658,46.710385,25240,MOUTHE,25,MSAP Mouthe,1 Grande Rue,,,,,,
6.57825,47.450586,25250,L'ISLE-SUR-LE-DOUBS,25,MSAP Objectif Emploi L'Isle sur le Doubs,16 Rue de la Velle,,,,,,
6.11814,46.953824,25270,LEVIER,25,Agence crédit agricole Levier,11  place de Verdun,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.147346,47.105057,25290,ORNANS,25,Agence Credit Agricole Ornans,1 rue Saint Laurent,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.402337,46.834637,25300,LES FOURGS,25,d@vp@il,52 Grande Rue,,,,,,
6.354076,46.905997,25300,PONTARLIER,25,Mission Locale du Haut-Doubs,17 place des Bernardines,,,,,,
6.883728,47.442506,25310,HERIMONCOURT,25,Espace Multimedia,Espace Multimedia ,,,,,,
5.999905,46.977518,25330,NANS SOUS STE ANNE,25,L  'Observ@toire - Association ECHEL,6 grande rue,,,,,,
6.070628,47.037643,25330,AMANCEY,25,MFS Communauté de Communes Loue Lison,13 rue du Four,,,,,,
6.497182,47.39348,25340,CLERVAL,25,MSAP Objectif Emploi Clerval,Place de l'Hôtel de Ville,,,,,,
6.807205,47.452945,25350,MANDEURE,25,Espace jeune,Espace jeune ,,,,,,
6.236533,47.246334,25360,BOUCLANS,25,MSAP Objectif Emploi Bouclans,1 Place de la Poste,,,,,,
6.373972,46.77702,25370,LES HOPITAUX NEUFS,25,Agence crédit agricole les hopitaux neufs,7  place de la mairie,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.656181,47.25957,25380,BELLEHERBE,25,MSAP Communauté de communes du Pays de Sancey Belleherbe,1 Allée des Sapins,,,,,,
6.526425,47.131422,25390,ORCHAMPS-VENNES,25,MSAP Orchamps-Vennes,29 Grande rue,,,,,,
6.840732,47.479594,25400,AUDINCOURT,25,Agence Crédit Agrricole Audincourt,2 rue de seloncourt,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.857147,47.473836,25400,AUDINCOURT,25,Espace citoyen,Espace citoyen ,,,,,,
5.81072,47.1805,25410,SAINT VIT,25,Association Saint-Vit Informatique,Association Saint-Vit Informatique ,,,,,,
6.585854,47.298151,25430,SANCEY-LE-GRAND,25,MSAP Objectif Emploi Sancey,30 bis Rue du Maréchal de lattre de Tassigny,,,,,,
5.883626,47.103238,25440,QUINGEY,25,MSAP Quingey,15 Place d'Armes,,,,,,
6.896718,47.524083,25490,FESCHES LE CHATEL,25,Maison des associations,Maison des associations ,,,,,,
6.731509,47.479615,25550,BAVANS,25,Agence Crédit Agricole Bavans,4 grande rue ,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.736854,47.480477,25550,BAVANS,25,Association de Gestion - Maison pour tous,Association de Gestion - Maison pour tous ,,,,,,
6.736854,47.480477,25550,BAVANS,25,Association Gestion Actions Socio Culturelles,41  grande rue,,,,,,
6.165342,46.858267,25560,FRASNE,25,Agence  Credit Agricole Frasne ,26 grande rue,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.158342,46.857464,25560,FRASNE,25,MSAP Frasne,18 rue de la gare,,,,,,
6.336511,47.09857,25580,LES PREMIERS SAPINS,25,MFS Les Premiers Sapins,8 rue de la Scierie,,,,,,
6.837238,47.525316,25600,VIEUX CHARMONT,25,Ecole primaire,Ecole primaire ,,,,,,
6.830879,47.513896,25600,SOCHAUX,25,MFS Maison Numérique de Sochaux,4  rue de La Poste,,,,,,
6.831091,47.51342,25600,SOCHAUX,25,Pôle Multimédia,Pôle Multimédia ,,,,,,
5.77903,47.031451,25610,ARC ET SENANS,25,Institut Claude Nicolas Ledoux. C.C.R.,Institut Claude Nicolas Ledoux. C.C.R. ,,,,,,
6.16163,47.1972,25620,MAMIROLLE,25,MSAP Mamirolle,17 Grande Rue,,,,,,
6.77488,47.506512,25630,SAINTE SUZANNE,25,Club Miss,Club Miss ,,,,,,
6.238387,47.316352,25640,ROULANS,25,MSAP Objectif Emploi Roulans,Espace Culturel,,,,,,
6.480759,47.04673,25650,GILLEY,25,Agence Credit Agricole Gilley,4 rue de lattre de tassigny,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.483597,47.046697,25650,GILLEY,25,MSAP Gilley,2 Avenue Jean de Lattre de Tassigny,,,,,,
6.11784,47.2241,25660,SAONE,25,Agence Crédit Agricole Saone,1 rue de la croix de mission,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.11784,47.2241,25660,SAONE,25,Agence Crédit Agricole Saone,1 rue de la croix de mission,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
